maori word,use instead of,related term,broader term
Ahaaha," Shark tooth swords; Swords, Māori; Swords, Shark tooth", , Rākau ā Tū
Ahi kā, Land occupation, Hapū; Kaitiakitanga; Papakāinga; Whenua tupuna, Mana whenua + Tikanga
Ahi marae," Ahi horokaka; Ahi marae taua; Battle rites; Rites, Battle", Kākari; Pakanga, Tikanga
Ahi tapu," Fires, Ceremonial", , Tikanga
Aho," Fishing lines; Lines, Fishing", , Taputapu hī ika
Ahu māra, Mahi māra; Gardening; Horticulture, Hauhake; Hua rākau; Hua whenua; Maramataka; Matariki; Rīwai, Ahu whenua
Ahu whenua, Pāmu; Whenua pāmu; Agriculture; Farming; Farms, Mahinga kai o te whenua; Mātauranga huaota, Ahumahi + Whenua
Āhua, Forms; Shapes, , Āhuahanga
Āhua-o-te-rangi, Huarere; Weather, Āhuarangi; Awa kōpaka; Tāwhirimātea; Wāhanga o te tau, Taiao
Āhuahanga, Takotoranga aiao; Geometry, , Pāngarau
Āhuarangi, Ahua o ngā rangi; Climate, Āhua-o-te-rangi; Wāhanga o te tau, Taiao
Āhuatanga ōhanga, Economic conditions, Āhuatanga pāpori; Whakapakari ā-iwi, Ōhanga
Āhuatanga pāpori, Social conditions, Āhuatanga ōhanga; Hapori; Marau-ā-iwi; Mātauranga hapori; Rōpū Māori; Whakaaotanga; Whakapakari ā-iwi, Tāngata
Ahumahi, Industries, Hangarau; Rūnanga ā-iwi; Whakaputa pukapuka; Whiwhinga mahi, Ohaoha
Ahumahi (Hī ika)," Commercial fishing; Fishing, Commercial", , Ahumahi + Hī ika
Ahumahi ngahere, Ngāherehere; Ono rākau; Turaki; Forestry; Logging, Tānemāhuta; Te Wao nui a Tāne, Ahumahi
Ahumoana, Aquaculture, , Ahumahi (Hī ika)
Ahupūngao, Physics, , Pūtaiao
Aitanga pepeke, Insects, , Ngārara
Aituā," Accidents; Bad omens; Misfortune; Omens, Bad", Matenga; Tūmatauenga, Tikanga tuku iho
Aituā (Taiao)," Disasters, Environmental; Disasters, Natural; Environmental disasters; Natural disasters", Hinenuitepō, Aituā + Taiao
Aka," Climbing plants; Plants, Climbing; Vines", Aukaha; Huruhuru whenua; Mauwha; Otaota; Otaota hāwere; Pūkohu; Rākau whakakake; Rākau whakaruruhau; Rākau whakauru; Whara, Te Wao nui a Tāne
Aka kiore," Kaihua; Poapoa tautaua; Taiwhiwhi; Jasmines, New Zealand; New Zealand jasmines", , Aka
Aka kura, , , Aka
Aka torotoro, , , Aka
Akakōpuka," Broadleaves, Shining; Shining broadleaves", , Aka + Rākau whakauru
Akatea, White rata, , Aka
Ākau pōhatuhatu," Rocky shore; Shore, Rocky", , Takutai moana
Akeake, Ake rautangi, , Rākau whakauru
Ako, Learning, Hapū; Karahipi; Kōhanga reo; Kura kaupapa Māori; Kura pūhou; Kura tuarua; Kura tuatahi; Marae; Tohunga; Whānau; Whare wānanga; Wharekura, Mōhiotanga
Ako-ā-matihiko," Digital instruction; Digital learning; Instruction, Digital; Learning, Digital", Ako-ā-rorohiko, Ako
Ako-ā-rorohiko," Computer-assisted instruction; Computer-assisted learning; Instruction, Computer-assisted; Learning, Computer-assisted", Ako-ā-matihiko, Ako
Akonga, Apprentices; Students, Tauira, Ako
Ama, , Waka ama, Waka
Amo, , , Whare whakairo
Amokura, Strawtails, , Manu moana
Ana, Rua; Tomo; Caves, Hāereere ana, Taiao
Anga," Frameworks, Theoretical; Theoretical frameworks", Mātauranga; Waihanga; Wānanga, Māramatanga + Rangahau Māori
Angiangi," Lichens, Old man's beard; Old man's beard lichens", , Pūkohu
Āniwaniwa, Āheahea; Atua piko; Atua tapiko; Kōpere; Rainbows, Ngā tae; Ua; Uenuku, Āhua-o-te-rangi
Ao pāpāho, Perehi; News media; Press (Media), , Pāpāho
Ao wairua, Spiritual world; Spirituality, Hauora wairua; Taiao; Tohunga; Wairua; Whakapono,
Apakura, Dirges (Laments); Laments (Dirges), Waiata tangi, Mōteatea
Apārangi, Mercury, , Whetū kōkori
Āporo, Apples, , Hua rākau
Ara kai, Digestive system, , Tinana
Ārai, Patents, , Mana whakairo hinengaro
Ārai i te ahi," Fire prevention; Prevention, Fire", Ratonga ahi, Haumarutanga
Ārai kore, AIDS, , Tahumaero
Ārai whara, Injury prevention, Hauora tinana, Mate
Ārai whatitata, Risk management, , Mahi whakahaere
Āraitanga, Eclipse, Rā, Ātea
Aratohu mā te pouako," Aratohu mā te kaiako; Guides, Teachers'; Resources, Teachers'; Teachers' guides; Teachers' resources", , Kaiako + Taputapu
Ariā whakaako, Āhuatanga ako; Pedagogy, , Ako
Ariki, Chiefs, Atua; Rangatira, Tāngata whenua
Ariki tamaroa, , , Ariki
Ariki tapairu, , , Ariki
Arokehe," Eels, Longfinned; Longfinned eels", , Tuna
Aromatawai ā-paerewa," Assessment, Standards-based; Standards-based assessment", , Ako
Aronganui, Kare ā-roto; Emotions; Feelings, Mauri, Ira + Ora
Arorangi-iti, Asteroids, , Whetū kōkori
Atamira, , , Mahi ā Rēhia + Tangihanga
Atawhai, , Hauora whānau; Manaaki tangata; Whāngai, Whanaungatanga
Ātea," Ao nui mārama; Ao takiwā; Ao tukupū; Outer space; Space, Outer", Pōkai ātea; Waka ātea, Taiao
Atua, Gods, Ariki; Hawaiiki; Ingoa; Karakia; Mana; Mana atua; Noa; Pūtaiao; Tapu; Tikanga tuku iho; Tohunga; Wairua; Whakapapa,
Aua," Kātaha; Mullets, Yellowed-eyed; Yellowed-eyed mullets", , Ika o ngā ngutu awa
Auahi-turoa, Auahi-roa; Comets, Matakōkiri, Whānau mārama
Aukaha, , Aka; Harakeke, Waka
Aukati, , Whenua rāhui, Tikanga
Aukati (Tōrangapū), Prohibition of alcohol, Kīngitanga, Tōrangapū
Autahi, Aotahi; Atutahi; Canopus, , Whetū
Aute," Mulberries, Paper; Paper mulberries; Tapa plants", Manu aute, Otaota
Aute tāranga, Autu tauranga; Toroheke; Sand pimelia, , Mauwha
Awa, Rivers, Awa kōpaka; Hāereere awa; Manga; Mātāpuna; Taunahanahatanga, Wai
Awa kōpaka, Glaciers; Puna hauaitu, Āhua-o-te-rangi; Awa; Hukapapa; Hukarere; Wai, Puna waimāori
Āwhā, Storms, , Āhua-o-te-rangi
Āwhina ture, Āwhina ā-ture; Āwhina pūtea rōia; Legal aid, , Ture
E mākū i te rangi," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Eke hōiho, Kake hōiho; Horse-riding, , Haerenga + Hōiho
Eke ngaru, Whakaheke ngaru; Whakahekeheke; Surfing, Whakaora tangata auheke, Hākinakina
Epa, , , Whare whakairo
Hā, , , Hauora wairua
Hāereere ana," Tākaro ana; Adventures, Caving; Caving; Caving adventures; Speleology; Tubing", Ana; Toka-ā-nuku, Tākaro
Hāereere awa," Tira hoe; Wai kukuti manawa; Activities, River; Adventures, River; Rafting; Rafting, White water; River activities; River adventures; White water rafting", Awa; Waka; Waka ama, Tākaro + Wai
Haerenga, Hurihaere; Ngā haere; Takahaere; Journeys; Travelling, Waka, Tāngata
Hahaupōro, Korowha; Golf, , Hākinakina
Hāhi Karaitiana," Whakapono Karaitiana; Christian faith; Christian religion; Christianity; Faith, Christian; Religion, Christian", , Whakapono
Hāhi Māori," Māori religions; Religions, Māori", , Whakapono
Hahunga," Ceremonies, Exhumation", , Tikanga
Haka, Posture dances, Kaioraora; Kapa haka; Ngeri; Tāne-Rore; Waiata koroua, Mahi ā Rēhia
Haka pōwhiri, , Pōwhiri, Haka
Haka taparahi, , , Haka
Hākari, Feasts, Kai, Pōwhiri + Whakatau
Haki, Kara; Flags; Taarewa, , Tuakiri
Hākinakina, Sports, , Tākaro
Hākoakoa," Skuas, Southern; Southern skuas", , Manu moana
Haku, Kingfishes; Yellowtails, , Ika waitai
Hana Kōkō, Father Christmas; Santa Claus, , Kirihimete
Hangarau, Technology, Ahumahi, Pūtaiao
Hangarau kai," Food technology; Technology, Food", Tunu kai, Hangarau + Kai
